HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0048125,TG(14:1(9Z)/20:2n6/20:2n6),C57H100O6,880.7519909,[H][C@@](COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,GGESIZJOLUZGHM-DGZLZUMGSA-N
HMDB0048136,"TG(14:1(9Z)/20:2n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,YSZSTRFCTSGBDD-CZSLTIDLSA-N
HMDB0048122,TG(14:1(9Z)/20:2n6/24:1(15Z)),C61H110O6,938.8302412,[H][C@@](COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,QAVLFIAVSWNWOP-IZGZYJOESA-N
HMDB0048137,TG(14:1(9Z)/20:2n6/O-18:0),C55H102O5,842.7727264,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,UHVCAEYDCRIXKY-GTWSWVPXSA-N
HMDB0048002,"TG(14:1(9Z)/20:3(5Z,8Z,11Z)/18:1(11Z))",C55H96O6,852.7206908,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,QBKIULACTZPXJR-OTWOXXSYSA-N
HMDB0048003,"TG(14:1(9Z)/20:3(5Z,8Z,11Z)/18:1(9Z))",C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,DELOENOPQWJVLP-KLTXJGCRSA-N
HMDB0048004,"TG(14:1(9Z)/20:3(5Z,8Z,11Z)/20:1(11Z))",C57H100O6,880.7519909,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,JMNWHZCLZAOONT-JHXKXPALSA-N
HMDB0048015,"TG(14:1(9Z)/20:3(5Z,8Z,11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,HASCFYSLDYFKJC-LAOBDLPTSA-N
HMDB0048020,"TG(14:1(9Z)/20:3(5Z,8Z,11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,XNDJLJYFFTWUTN-HBEPBMFUSA-N
HMDB0048140,TG(14:1(9Z)/20:3n6/18:1(11Z)),C55H96O6,852.7206908,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,KIAYIOGNKVRZDY-MWFUTKLXSA-N
HMDB0048141,TG(14:1(9Z)/20:3n6/18:1(9Z)),C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,ZQQGMCWVFPHUPJ-BWMZTZCRSA-N
HMDB0048142,TG(14:1(9Z)/20:3n6/20:1(11Z)),C57H100O6,880.7519909,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,JBTOLUCASDBORC-IFIBPCQDSA-N
HMDB0048153,"TG(14:1(9Z)/20:3n6/22:5(4Z,7Z,10Z,13Z,16Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,BQSSPIJIQXOSMQ-NMOUIXIHSA-N
HMDB0048158,"TG(14:1(9Z)/20:3n6/22:5(7Z,10Z,13Z,16Z,19Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,HNZNHYGZYKXHHL-VZSZECGFSA-N
HMDB0048175,"TG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,BOGNZWFVCFWTDN-AYZOBELKSA-N
HMDB0048183,"TG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)/O-18:0)",C55H98O5,838.7414262,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,IXEARPXRHLLVNK-YOOXGPEZSA-N
HMDB0048313,"TG(14:1(9Z)/20:4(8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))",C59H96O6,900.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,GWAVHAUKODFLGT-UCPRMEQRSA-N
HMDB0048321,"TG(14:1(9Z)/20:4(8Z,11Z,14Z,17Z)/O-18:0)",C55H98O5,838.7414262,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,PRBBZGQORJEBML-HTNVVQHESA-N
HMDB0047847,"TG(14:1(9Z)/22:0/18:2(9Z,12Z))",C57H104O6,884.783291,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,AXFNIIJYCHZARY-ZTIYBWLLSA-N
HMDB0047848,"TG(14:1(9Z)/22:0/18:3(6Z,9Z,12Z))",C57H102O6,882.767641,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,VJRAKLSHWUZUGJ-KQNBKZFHSA-N
HMDB0047855,"TG(14:1(9Z)/22:0/18:3(9Z,12Z,15Z))",C57H102O6,882.767641,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,LSLCAMBCQCOKNH-QJGMYCCBSA-N
HMDB0047856,"TG(14:1(9Z)/22:0/18:4(6Z,9Z,12Z,15Z))",C57H100O6,880.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,HIHQJJVDWLEWFD-VMHSLYIXSA-N
HMDB0047843,TG(14:1(9Z)/22:0/20:1(11Z)),C59H110O6,914.8302412,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,VOLUUICWFQPQGG-ZUZBGFAESA-N
HMDB0047845,TG(14:1(9Z)/22:0/22:1(13Z)),C61H114O6,942.8615414,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,DPOKSOYZNAGELJ-GWPMROEHSA-N
HMDB0047852,"TG(14:1(9Z)/22:0/22:2(13Z,16Z))",C61H112O6,940.8458913,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,XORGQMNRBOZGBM-WVHAEAGOSA-N
HMDB0047846,TG(14:1(9Z)/22:0/24:1(15Z)),C63H118O6,970.8928415,[H][C@@](COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,MYYDVRKVUNECKQ-BHTARXBPSA-N
HMDB0047861,TG(14:1(9Z)/22:0/O-18:0),C57H110O5,874.8353266,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,YIPJUHYAYCZWRJ-IIYWXNMISA-N
HMDB0048024,TG(14:1(9Z)/22:1(13Z)/16:1(9Z)),C55H100O6,856.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,WUUWBWLVYRBSQT-RUTWIJPDSA-N
HMDB0048025,TG(14:1(9Z)/22:1(13Z)/18:1(11Z)),C57H104O6,884.783291,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,FODKVBNCUCXQDG-QSCSLWOISA-N
HMDB0048026,TG(14:1(9Z)/22:1(13Z)/18:1(9Z)),C57H104O6,884.783291,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,ZITWCTCGAATZHT-JEQUJCETSA-N
