HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0001553,2-Oxo-4-methylthiobutanoic_acid,C5H8O3S,148.0194151,CSCCC(=O)C(O)=O,SXFSQZDSUWACKX-UHFFFAOYSA-N
HMDB0004225,2-Oxoarginine,C6H11N3O3,173.0800412,NC(N)=NCCCC(=O)C(O)=O,ARBHXJXXVVHMET-UHFFFAOYSA-N
HMDB0005842,2-Oxohexane,C6H12O,100.088815,CCCCC(C)=O,QQZOPKMRPOGIEB-UHFFFAOYSA-N
HMDB0094646,2-Pentanamido-3-phenylpropanoic_acid,C14H19NO3,249.1364935,CCCCC(O)=NC(CC1=CC=CC=C1)C(O)=O,YXQLJEQFZUMUPB-UHFFFAOYSA-N
HMDB0011749,2-Piperidinone,C5H9NO,99.06841391,O=C1CCCCN1,XUWHAWMETYGRKB-UHFFFAOYSA-N
HMDB0002039,2-Pyrrolidinone,C4H7NO,85.05276384,O=C1CCCN1,HNJBEVLQSNELDL-UHFFFAOYSA-N
HMDB0126386,"3-(2,4-Dihydroxyphenyl)propanoic_acid",C9H10O4,182.0579088,OC(=O)CCC1=C(O)C=C(O)C=C1,HMCMTJPPXSGYJY-UHFFFAOYSA-N
HMDB0033752,3-(2-Hydroxyphenyl)propanoic_acid,C9H10O3,166.0629942,OC(=O)CCC1=CC=CC=C1O,CJBDUOMQLFKVQC-UHFFFAOYSA-N
HMDB0000375,3-(3-Hydroxyphenyl)propanoic_acid,C9H10O3,166.0629942,OC(=O)CCC1=CC(O)=CC=C1,QVWAEZJXDYOKEH-UHFFFAOYSA-N
HMDB0000755_,3-(4-Hydroxyphenyl)lactate,C9H10O4,182.0579,C1=CC(=CC=C1CC(C(=O)O)O)O,JVGVDSSUAVXRDY-UHFFFAOYSA-N
HMDB0031716,3-(Methylthio)-1-propanol,C4H10OS,106.0452359,CSCCCO,CZUGFKJYCPYHHV-UHFFFAOYSA-N
HMDB0031857,3-(Methylthio)propanal,C4H8OS,104.0295859,CSCCC=O,CLUWOWRTHNNBBU-UHFFFAOYSA-N
HMDB0001336,"3,4-Dihydroxybenzeneacetic_acid",C8H8O4,168.0422587,OC(=O)CC1=CC(O)=C(O)C=C1,CFFZDZCDUFSOFZ-UHFFFAOYSA-N
HMDB0000423,"3,4-Dihydroxyhydrocinnamic_acid",C9H10O4,182.0579088,OC(=O)CCC1=CC(O)=C(O)C=C1,DZAUWHJDUNRCTF-UHFFFAOYSA-N
HMDB0031492,"3,4-Hexanedione",C6H10O2,114.0680796,CCC(=O)C(=O)CC,KVFQMAZOBTXCAZ-UHFFFAOYSA-N
HMDB0013677,"3,5-Dihydroxybenzoic_acid",C7H6O4,154.0266087,OC(=O)C1=CC(O)=CC(O)=C1,UYEMGAFJOZZIFP-UHFFFAOYSA-N
HMDB0036100,"3,7-Dimethyl-1,6-octadien-3-ol",C10H18O,154.1357652,CC(C)=CCCC(C)(O)C=C,CDOSHBSSFJOMGT-UHFFFAOYSA-N
HMDB0001982,"3,7-Dimethyluric_acid",C7H8N4O3,196.0596401,CN1C(=O)NC2=C1C(=O)NC(=O)N2C,HMLZLHKHNBLLJD-UHFFFAOYSA-N
HMDB0094710,3-[3-(Sulfooxy)phenyl]propanoic_acid,C9H10O6S,246.019809,OC(=O)CCC1=CC(OS(O)(=O)=O)=CC=C1,IQWLPDPKVFZEOK-UHFFFAOYSA-N
HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic_acid",C27H46O4,434.33961,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C(O)=O,ITZYGDKGRKKBSN-HKFUITGCSA-N
HMDB0031654,3-Aminobutanoic_acid,C4H9NO2,103.0633285,CC(N)CC(O)=O,OQEBBZSWEGYTPG-UHFFFAOYSA-N
HMDB0003911,3-Aminoisobutanoic_acid,C4H9NO2,103.0633285,CC(CN)C(O)=O,QCHPKSFMDHPSNR-UHFFFAOYSA-N
HMDB0061112,3-Carboxy-4-methyl-5-propyl-2-furanpropionic_acid,C12H16O5,240.0997736,CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,WMCQWXZMVIETAO-UHFFFAOYSA-N
HMDB0002390,3-Cresotinic_acid,C8H8O3,152.0473441,CC1=C(O)C(=CC=C1)C(O)=O,WHSXTWFYRGOBGO-UHFFFAOYSA-N
HMDB0002466,3-Hydroxybenzoic_acid,C7H6O3,138.0316941,OC(=O)C1=CC(O)=CC=C1,IJFXRHURBJZNAO-UHFFFAOYSA-N
HMDB0000011,3-Hydroxybutyric_acid,C4H8O3,104.0473441,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N
HMDB0002203,3-Hydroxycapric_acid,C10H20O3,188.1412445,CCCCCCC[C@H](O)CC(O)=O,FYSSBMZUBSBFJL-VIFPVBQESA-N
HMDB0061652,3-Hydroxyhexanoic_acid,C6H12O3,132.0786442,CCC[C@H](O)CC(O)=O,HPMGFDVTYHWBAG-YFKPBYRVSA-N
HMDB0006116,3-Hydroxyhippuric_acid,C9H9NO4,195.0531578,OC(=O)CNC(=O)C1=CC=CC(O)=C1,XDOFWFNMYJRHEW-UHFFFAOYSA-N
HMDB0060921,3-Hydroxyibuprofen,C13H18O3,222.1255944,CC(CO)CC1=CC=C(C=C1)C(C)C(O)=O,HFAIHLSDLUYLQA-UHFFFAOYSA-N
HMDB0000754,3-Hydroxyisovaleric_acid,C5H10O3,118.0629942,CC(C)(O)CC(O)=O,AXFYFNCPONWUHW-UHFFFAOYSA-N
HMDB0000732,3-hydroxykynurenine,C10H12N2O4,224.0797,Nc1c(O)cccc1C(=O)CC(N)C(=O)O,VCKPUUFAIGNJHC-UHFFFAOYSA-N
HMDB0000750,3-Hydroxymandelic_acid,C8H8O4,168.0422587,OC(C(O)=O)C1=CC(O)=CC=C1,OLSDAJRAVOVKLG-UHFFFAOYSA-N
HMDB0000355,3-Hydroxymethylglutaric_acid,C6H10O5,162.0528234,CC(O)(CC(O)=O)CC(O)=O,NPOAOTPXWNWTSH-UHFFFAOYSA-N
HMDB0001954,3-Hydroxyoctanoic_acid,C8H16O3,160.1099444,CCCCC[C@H](O)CC(O)=O,NDPLAKGOSZHTPH-ZETCQYMHSA-N
HMDB0000440,3-Hydroxyphenylacetic_acid,C8H8O3,152.0473441,OC(=O)CC1=CC(O)=CC=C1,FVMDYYGIDFPZAX-UHFFFAOYSA-N
HMDB0003453_,3-Hydroxypropanal,C3H6O2,74.0368,C(CO)C=O,AKXKFZDCRYJKTF-UHFFFAOYSA-N
HMDB0000700_,3-Hydroxypropanoic_acid,C3H6O3,90.0317,C(CO)C(=O)O,ALRHLSYJTWAHJZ-UHFFFAOYSA-N
HMDB0001091,3-Hydroxyquinine,C20H24N2O3,340.1786926,[H][C@]12CCN(C[C@]1(O)C=C)[C@@]([H])(C2)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,BSRUJCFCZKMFMB-ZNYHDOEXSA-N
HMDB0000350,3-Hydroxysebacic_acid,C10H18O5,218.1154237,O[C@H](CCCCCCC(O)=O)CC(O)=O,OQYZCCKCJQWHIE-MRVPVSSYSA-N
HMDB0000325,3-Hydroxysuberic_acid,C8H14O5,190.0841235,OC(CCCCC(O)=O)CC(O)=O,ARJZZFJXSNJKGR-UHFFFAOYSA-N
HMDB0000531,3-Hydroxyvaleric_acid,C5H10O3,118.0629942,CCC(O)CC(O)=O,REKYPYSUBKSCAT-UHFFFAOYSA-N
HMDB0000553,"3L,7D,11D-Phytanic_acid",C20H40O2,312.3028305,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@H](C)CC(O)=O,RLCKHJSFHOZMDR-QRVBRYPASA-N
HMDB0000491,3-Methyl-2-oxovaleric_acid,C6H10O3,130.0629942,CC[C@H](C)C(=O)C(O)=O,JVQYSWDUAOAHFM-BYPYZUCNSA-N
HMDB0000555,3-Methyladipic_acid,C7H12O4,160.0735589,C[C@@H](CCC(O)=O)CC(O)=O,SYEOWUNSTUDKGM-YFKPBYRVSA-N
HMDB0000522,3-Methylglutaconic_acid,C6H8O4,144.0422587,C\C(CC(O)=O)=C/C(O)=O,WKRBKYFIJPGYQC-DUXPYHPUSA-N
HMDB0000479,3-Methylhistidine,C7H11N3O2,169.0851266,[H][C@](N)(CC1=CN=CN1C)C(O)=O,JDHILDINMRGULE-LURJTMIESA-N
HMDB0000466,3-Methylindole,C9H9N,131.0734993,CC1=CNC2=C1C=CC=C2,ZFRKQXVRDFCRJG-UHFFFAOYSA-N
HMDB0001970,3-Methyluric_acid,C6H6N4O3,182.0439901,CN1C2=C(NC(=O)N2)C(=O)NC1=O,ODCYDGXXCHTFIR-UHFFFAOYSA-N
HMDB0001886,3-Methylxanthine,C6H6N4O2,166.0490754,CN1C2=C(NC=N2)C(=O)NC1=O,GMSNIKWWOQHZGF-UHFFFAOYSA-N
HMDB0000996,3-Sulfinoalanine,C3H7NO4S,153.0095787,N[C@@H](CS(O)=O)C(O)=O,ADVPTQAUNPRNPO-REOHCLBHSA-N
